,Copo,City_Name,Distribution Date,Amount,TAG AGENCIES,ADDRESS,CITY,STATE,ZIP,PHONE1,LONGITUDE,LATITUDE,Location,zip,city,county_name
36,205.0,Aline,10-Jul-18,35.88,,,,,,,,,,,,
37,205.0,Aline,10-Aug-18,35.35,,,,,,,,,,,,
38,205.0,Aline,11-Sep-18,34.72,,,,,,,,,,,,
39,205.0,Aline,8-Oct-18,30.21,,,,,,,,,,,,
40,205.0,Aline,13-Nov-18,37.31,,,,,,,,,,,,
41,205.0,Aline,11-Dec-18,34.12,,,,,,,,,,,,
42,205.0,Aline,10-Jan-19,33.11,,,,,,,,,,,,
43,205.0,Aline,11-Feb-19,33.62,,,,,,,,,,,,
44,205.0,Aline,11-Mar-19,27.50,,,,,,,,,,,,
45,205.0,Aline,9-Apr-19,33.17,,,,,,,,,,,,
46,205.0,Aline,10-May-19,27.87,,,,,,,,,,,,
47,205.0,Aline,11-Jun-19,41.20,,,,,,,,,,,,
48,210.0,Amorita,10-Jul-18,6.52,,,,,,,,,,,,
49,210.0,Amorita,10-Aug-18,6.43,,,,,,,,,,,,
50,210.0,Amorita,11-Sep-18,6.31,,,,,,,,,,,,
51,210.0,Amorita,8-Oct-18,5.49,,,,,,,,,,,,
52,210.0,Amorita,13-Nov-18,6.78,,,,,,,,,,,,
53,210.0,Amorita,11-Dec-18,6.20,,,,,,,,,,,,
54,210.0,Amorita,10-Jan-19,6.02,,,,,,,,,,,,
55,210.0,Amorita,11-Feb-19,6.11,,,,,,,,,,,,
56,210.0,Amorita,11-Mar-19,5.00,,,,,,,,,,,,
57,210.0,Amorita,9-Apr-19,6.03,,,,,,,,,,,,
58,210.0,Amorita,10-May-19,5.07,,,,,,,,,,,,
59,210.0,Amorita,11-Jun-19,7.49,,,,,,,,,,,,
60,215.0,Burlington,10-Jul-18,26.26,,,,,,,,,,,,
61,215.0,Burlington,10-Aug-18,25.87,,,,,,,,,,,,
62,215.0,Burlington,11-Sep-18,25.41,,,,,,,,,,,,
63,215.0,Burlington,8-Oct-18,22.11,,,,,,,,,,,,
64,215.0,Burlington,13-Nov-18,27.31,,,,,,,,,,,,
65,215.0,Burlington,11-Dec-18,24.97,,,,,,,,,,,,
66,215.0,Burlington,10-Jan-19,24.23,,,,,,,,,,,,
67,215.0,Burlington,11-Feb-19,24.61,,,,,,,,,,,,
68,215.0,Burlington,11-Mar-19,20.13,,,,,,,,,,,,
69,215.0,Burlington,9-Apr-19,24.27,,,,,,,,,,,,
70,215.0,Burlington,10-May-19,20.40,,,,,,,,,,,,
71,215.0,Burlington,11-Jun-19,30.15,,,,,,,,,,,,
72,220.0,Byron,10-Jul-18,6.20,,,,,,,,,,,,
73,220.0,Byron,10-Aug-18,6.11,,,,,,,,,,,,
74,220.0,Byron,11-Sep-18,6.00,,,,,,,,,,,,
75,220.0,Byron,8-Oct-18,5.22,,,,,,,,,,,,
76,220.0,Byron,13-Nov-18,6.44,,,,,,,,,,,,
77,220.0,Byron,11-Dec-18,5.89,,,,,,,,,,,,
78,220.0,Byron,10-Jan-19,5.72,,,,,,,,,,,,
79,220.0,Byron,11-Feb-19,5.81,,,,,,,,,,,,
80,220.0,Byron,11-Mar-19,4.75,,,,,,,,,,,,
81,220.0,Byron,9-Apr-19,5.73,,,,,,,,,,,,
82,220.0,Byron,10-May-19,4.81,,,,,,,,,,,,
83,220.0,Byron,11-Jun-19,7.12,,,,,,,,,,,,
84,225.0,Carmen,10-Jul-18,61.16,,,,,,,,,,,,
85,225.0,Carmen,10-Aug-18,60.26,,,,,,,,,,,,
86,225.0,Carmen,11-Sep-18,59.18,,,,,,,,,,,,
87,225.0,Carmen,8-Oct-18,51.49,,,,,,,,,,,,
88,225.0,Carmen,13-Nov-18,63.60,,,,,,,,,,,,
89,225.0,Carmen,11-Dec-18,58.15,,,,,,,,,,,,
90,225.0,Carmen,10-Jan-19,56.43,,,,,,,,,,,,
91,225.0,Carmen,11-Feb-19,57.31,,,,,,,,,,,,
92,225.0,Carmen,11-Mar-19,46.88,,,,,,,,,,,,
93,225.0,Carmen,9-Apr-19,56.53,,,,,,,,,,,,
94,225.0,Carmen,10-May-19,47.51,,,,,,,,,,,,
95,225.0,Carmen,11-Jun-19,70.23,,,,,,,,,,,,
96,230.0,Cherokee,10-Jul-18,254.11,Alfalfa County Tag Agency,Rural Route 112 Loop Drive,Cherokee,OK,73728.0,(580) 596-3428,-98.372529,36.753708,"(36.753708, -98.372529)",73728.0,Cherokee,Alfalfa
97,230.0,Cherokee,10-Aug-18,250.35,Alfalfa County Tag Agency,Rural Route 112 Loop Drive,Cherokee,OK,73728.0,(580) 596-3428,-98.372529,36.753708,"(36.753708, -98.372529)",73728.0,Cherokee,Alfalfa
98,230.0,Cherokee,11-Sep-18,245.88,Alfalfa County Tag Agency,Rural Route 112 Loop Drive,Cherokee,OK,73728.0,(580) 596-3428,-98.372529,36.753708,"(36.753708, -98.372529)",73728.0,Cherokee,Alfalfa
99,230.0,Cherokee,8-Oct-18,213.93,Alfalfa County Tag Agency,Rural Route 112 Loop Drive,Cherokee,OK,73728.0,(580) 596-3428,-98.372529,36.753708,"(36.753708, -98.372529)",73728.0,Cherokee,Alfalfa
100,230.0,Cherokee,13-Nov-18,264.23,Alfalfa County Tag Agency,Rural Route 112 Loop Drive,Cherokee,OK,73728.0,(580) 596-3428,-98.372529,36.753708,"(36.753708, -98.372529)",73728.0,Cherokee,Alfalfa
101,230.0,Cherokee,11-Dec-18,241.61,Alfalfa County Tag Agency,Rural Route 112 Loop Drive,Cherokee,OK,73728.0,(580) 596-3428,-98.372529,36.753708,"(36.753708, -98.372529)",73728.0,Cherokee,Alfalfa
102,230.0,Cherokee,10-Jan-19,234.46,Alfalfa County Tag Agency,Rural Route 112 Loop Drive,Cherokee,OK,73728.0,(580) 596-3428,-98.372529,36.753708,"(36.753708, -98.372529)",73728.0,Cherokee,Alfalfa
103,230.0,Cherokee,11-Feb-19,238.11,Alfalfa County Tag Agency,Rural Route 112 Loop Drive,Cherokee,OK,73728.0,(580) 596-3428,-98.372529,36.753708,"(36.753708, -98.372529)",73728.0,Cherokee,Alfalfa
104,230.0,Cherokee,11-Mar-19,194.76,Alfalfa County Tag Agency,Rural Route 112 Loop Drive,Cherokee,OK,73728.0,(580) 596-3428,-98.372529,36.753708,"(36.753708, -98.372529)",73728.0,Cherokee,Alfalfa
105,230.0,Cherokee,9-Apr-19,234.88,Alfalfa County Tag Agency,Rural Route 112 Loop Drive,Cherokee,OK,73728.0,(580) 596-3428,-98.372529,36.753708,"(36.753708, -98.372529)",73728.0,Cherokee,Alfalfa
106,230.0,Cherokee,10-May-19,197.40,Alfalfa County Tag Agency,Rural Route 112 Loop Drive,Cherokee,OK,73728.0,(580) 596-3428,-98.372529,36.753708,"(36.753708, -98.372529)",73728.0,Cherokee,Alfalfa
107,230.0,Cherokee,11-Jun-19,291.78,Alfalfa County Tag Agency,Rural Route 112 Loop Drive,Cherokee,OK,73728.0,(580) 596-3428,-98.372529,36.753708,"(36.753708, -98.372529)",73728.0,Cherokee,Alfalfa
108,235.0,Goltry,10-Jul-18,42.57,,,,,,,,,,,,
109,235.0,Goltry,10-Aug-18,41.94,,,,,,,,,,,,
110,235.0,Goltry,11-Sep-18,41.19,,,,,,,,,,,,
111,235.0,Goltry,8-Oct-18,35.84,,,,,,,,,,,,
112,235.0,Goltry,13-Nov-18,44.27,,,,,,,,,,,,
113,235.0,Goltry,11-Dec-18,40.48,,,,,,,,,,,,
114,235.0,Goltry,10-Jan-19,39.28,,,,,,,,,,,,
115,235.0,Goltry,11-Feb-19,39.89,,,,,,,,,,,,
116,235.0,Goltry,11-Mar-19,32.63,,,,,,,,,,,,
117,235.0,Goltry,9-Apr-19,39.35,,,,,,,,,,,,
118,235.0,Goltry,10-May-19,33.07,,,,,,,,,,,,
119,235.0,Goltry,11-Jun-19,48.88,,,,,,,,,,,,
120,240.0,Helena,10-Jul-18,233.07,Helena Tag Agency,101 East 3rd,Helena,OK,73741.0,(580) 852-3271,-98.26853100000001,36.535206,"(36.535206, -98.268531)",73741.0,Helena,Alfalfa
121,240.0,Helena,10-Aug-18,229.62,Helena Tag Agency,101 East 3rd,Helena,OK,73741.0,(580) 852-3271,-98.26853100000001,36.535206,"(36.535206, -98.268531)",73741.0,Helena,Alfalfa
122,240.0,Helena,11-Sep-18,225.52,Helena Tag Agency,101 East 3rd,Helena,OK,73741.0,(580) 852-3271,-98.26853100000001,36.535206,"(36.535206, -98.268531)",73741.0,Helena,Alfalfa
123,240.0,Helena,8-Oct-18,196.22,Helena Tag Agency,101 East 3rd,Helena,OK,73741.0,(580) 852-3271,-98.26853100000001,36.535206,"(36.535206, -98.268531)",73741.0,Helena,Alfalfa
124,240.0,Helena,13-Nov-18,242.36,Helena Tag Agency,101 East 3rd,Helena,OK,73741.0,(580) 852-3271,-98.26853100000001,36.535206,"(36.535206, -98.268531)",73741.0,Helena,Alfalfa
125,240.0,Helena,11-Dec-18,221.61,Helena Tag Agency,101 East 3rd,Helena,OK,73741.0,(580) 852-3271,-98.26853100000001,36.535206,"(36.535206, -98.268531)",73741.0,Helena,Alfalfa
126,240.0,Helena,10-Jan-19,215.05,Helena Tag Agency,101 East 3rd,Helena,OK,73741.0,(580) 852-3271,-98.26853100000001,36.535206,"(36.535206, -98.268531)",73741.0,Helena,Alfalfa
127,240.0,Helena,11-Feb-19,218.40,Helena Tag Agency,101 East 3rd,Helena,OK,73741.0,(580) 852-3271,-98.26853100000001,36.535206,"(36.535206, -98.268531)",73741.0,Helena,Alfalfa
128,240.0,Helena,11-Mar-19,178.64,Helena Tag Agency,101 East 3rd,Helena,OK,73741.0,(580) 852-3271,-98.26853100000001,36.535206,"(36.535206, -98.268531)",73741.0,Helena,Alfalfa
129,240.0,Helena,9-Apr-19,215.43,Helena Tag Agency,101 East 3rd,Helena,OK,73741.0,(580) 852-3271,-98.26853100000001,36.535206,"(36.535206, -98.268531)",73741.0,Helena,Alfalfa
130,240.0,Helena,10-May-19,181.06,Helena Tag Agency,101 East 3rd,Helena,OK,73741.0,(580) 852-3271,-98.26853100000001,36.535206,"(36.535206, -98.268531)",73741.0,Helena,Alfalfa
131,240.0,Helena,11-Jun-19,267.62,Helena Tag Agency,101 East 3rd,Helena,OK,73741.0,(580) 852-3271,-98.26853100000001,36.535206,"(36.535206, -98.268531)",73741.0,Helena,Alfalfa
132,250.0,Jet,10-Jul-18,37.02,,,,,,,,,,,,
133,250.0,Jet,10-Aug-18,36.48,,,,,,,,,,,,
134,250.0,Jet,11-Sep-18,35.82,,,,,,,,,,,,
135,250.0,Jet,8-Oct-18,31.17,,,,,,,,,,,,
136,250.0,Jet,13-Nov-18,38.50,,,,,,,,,,,,
137,250.0,Jet,11-Dec-18,35.20,,,,,,,,,,,,
138,250.0,Jet,10-Jan-19,34.16,,,,,,,,,,,,
139,250.0,Jet,11-Feb-19,34.69,,,,,,,,,,,,
140,250.0,Jet,11-Mar-19,28.38,,,,,,,,,,,,
141,250.0,Jet,9-Apr-19,34.22,,,,,,,,,,,,
142,250.0,Jet,10-May-19,28.76,,,,,,,,,,,,
143,250.0,Jet,11-Jun-19,42.51,,,,,,,,,,,,
144,255.0,Lambert,10-Jul-18,0.98,,,,,,,,,,,,
145,255.0,Lambert,10-Aug-18,0.96,,,,,,,,,,,,
146,255.0,Lambert,11-Sep-18,0.95,,,,,,,,,,,,
147,255.0,Lambert,8-Oct-18,0.82,,,,,,,,,,,,
148,255.0,Lambert,13-Nov-18,1.02,,,,,,,,,,,,
149,255.0,Lambert,11-Dec-18,0.93,,,,,,,,,,,,
150,255.0,Lambert,10-Jan-19,0.90,,,,,,,,,,,,
151,255.0,Lambert,11-Feb-19,0.92,,,,,,,,,,,,
152,255.0,Lambert,11-Mar-19,0.75,,,,,,,,,,,,
153,255.0,Lambert,9-Apr-19,0.90,,,,,,,,,,,,
154,255.0,Lambert,10-May-19,0.76,,,,,,,,,,,,
155,255.0,Lambert,11-Jun-19,1.12,,,,,,,,,,,,
156,305.0,Atoka,10-Jul-18,504.13,Atoka Tag Agency,119 North Ohio,Atoka,OK,74525.0,(580) 889-2261,-96.12468,34.385422,"(34.385422, -96.12468)",74525.0,Atoka,Atoka
157,305.0,Atoka,10-Aug-18,496.69,Atoka Tag Agency,119 North Ohio,Atoka,OK,74525.0,(580) 889-2261,-96.12468,34.385422,"(34.385422, -96.12468)",74525.0,Atoka,Atoka
158,305.0,Atoka,11-Sep-18,487.82,Atoka Tag Agency,119 North Ohio,Atoka,OK,74525.0,(580) 889-2261,-96.12468,34.385422,"(34.385422, -96.12468)",74525.0,Atoka,Atoka
159,305.0,Atoka,8-Oct-18,424.43,Atoka Tag Agency,119 North Ohio,Atoka,OK,74525.0,(580) 889-2261,-96.12468,34.385422,"(34.385422, -96.12468)",74525.0,Atoka,Atoka
160,305.0,Atoka,13-Nov-18,524.23,Atoka Tag Agency,119 North Ohio,Atoka,OK,74525.0,(580) 889-2261,-96.12468,34.385422,"(34.385422, -96.12468)",74525.0,Atoka,Atoka
161,305.0,Atoka,11-Dec-18,479.35,Atoka Tag Agency,119 North Ohio,Atoka,OK,74525.0,(580) 889-2261,-96.12468,34.385422,"(34.385422, -96.12468)",74525.0,Atoka,Atoka
162,305.0,Atoka,10-Jan-19,465.16,Atoka Tag Agency,119 North Ohio,Atoka,OK,74525.0,(580) 889-2261,-96.12468,34.385422,"(34.385422, -96.12468)",74525.0,Atoka,Atoka
163,305.0,Atoka,11-Feb-19,472.41,Atoka Tag Agency,119 North Ohio,Atoka,OK,74525.0,(580) 889-2261,-96.12468,34.385422,"(34.385422, -96.12468)",74525.0,Atoka,Atoka
164,305.0,Atoka,11-Mar-19,386.40,Atoka Tag Agency,119 North Ohio,Atoka,OK,74525.0,(580) 889-2261,-96.12468,34.385422,"(34.385422, -96.12468)",74525.0,Atoka,Atoka
165,305.0,Atoka,9-Apr-19,465.99,Atoka Tag Agency,119 North Ohio,Atoka,OK,74525.0,(580) 889-2261,-96.12468,34.385422,"(34.385422, -96.12468)",74525.0,Atoka,Atoka
166,305.0,Atoka,10-May-19,391.64,Atoka Tag Agency,119 North Ohio,Atoka,OK,74525.0,(580) 889-2261,-96.12468,34.385422,"(34.385422, -96.12468)",74525.0,Atoka,Atoka
167,305.0,Atoka,11-Jun-19,578.89,Atoka Tag Agency,119 North Ohio,Atoka,OK,74525.0,(580) 889-2261,-96.12468,34.385422,"(34.385422, -96.12468)",74525.0,Atoka,Atoka
168,310.0,Caney,10-Jul-18,32.46,,,,,,,,,,,,
169,310.0,Caney,10-Aug-18,31.98,,,,,,,,,,,,
170,310.0,Caney,11-Sep-18,31.41,,,,,,,,,,,,
171,310.0,Caney,8-Oct-18,27.32,,,,,,,,,,,,
172,310.0,Caney,13-Nov-18,33.75,,,,,,,,,,,,
173,310.0,Caney,11-Dec-18,30.86,,,,,,,,,,,,
174,310.0,Caney,10-Jan-19,29.95,,,,,,,,,,,,
175,310.0,Caney,11-Feb-19,30.41,,,,,,,,,,,,
176,310.0,Caney,11-Mar-19,24.88,,,,,,,,,,,,
177,310.0,Caney,9-Apr-19,30.00,,,,,,,,,,,,
178,310.0,Caney,10-May-19,25.21,,,,,,,,,,,,
179,310.0,Caney,11-Jun-19,37.27,,,,,,,,,,,,
180,315.0,Stringtown,10-Jul-18,65.89,,,,,,,,,,,,
181,315.0,Stringtown,10-Aug-18,64.92,,,,,,,,,,,,
182,315.0,Stringtown,11-Sep-18,63.76,,,,,,,,,,,,
183,315.0,Stringtown,8-Oct-18,55.47,,,,,,,,,,,,
184,315.0,Stringtown,13-Nov-18,68.52,,,,,,,,,,,,
185,315.0,Stringtown,11-Dec-18,62.65,,,,,,,,,,,,
186,315.0,Stringtown,10-Jan-19,60.80,,,,,,,,,,,,
187,315.0,Stringtown,11-Feb-19,61.74,,,,,,,,,,,,
188,315.0,Stringtown,11-Mar-19,50.50,,,,,,,,,,,,
189,315.0,Stringtown,9-Apr-19,60.91,,,,,,,,,,,,
190,315.0,Stringtown,10-May-19,51.19,,,,,,,,,,,,
191,315.0,Stringtown,11-Jun-19,75.66,,,,,,,,,,,,
192,320.0,Tushka,10-Jul-18,49.74,,,,,,,,,,,,
193,320.0,Tushka,10-Aug-18,49.01,,,,,,,,,,,,
194,320.0,Tushka,11-Sep-18,48.13,,,,,,,,,,,,
195,320.0,Tushka,8-Oct-18,41.88,,,,,,,,,,,,
196,320.0,Tushka,13-Nov-18,51.73,,,,,,,,,,,,
197,320.0,Tushka,11-Dec-18,47.30,,,,,,,,,,,,
198,320.0,Tushka,10-Jan-19,45.90,,,,,,,,,,,,
199,320.0,Tushka,11-Feb-19,46.61,,,,,,,,,,,,
200,320.0,Tushka,11-Mar-19,38.13,,,,,,,,,,,,
201,320.0,Tushka,9-Apr-19,45.98,,,,,,,,,,,,
202,320.0,Tushka,10-May-19,38.64,,,,,,,,,,,,
203,320.0,Tushka,11-Jun-19,57.12,,,,,,,,,,,,
204,405.0,Beaver,10-Jul-18,229.31,Beaver County Tag Office,400 Douglas,Beaver,OK,73932.0,(580) 625-3376,-100.519468,36.813981,"(36.813981, -100.519468)",73932.0,Beaver,Beaver
205,405.0,Beaver,10-Aug-18,225.93,Beaver County Tag Office,400 Douglas,Beaver,OK,73932.0,(580) 625-3376,-100.519468,36.813981,"(36.813981, -100.519468)",73932.0,Beaver,Beaver
206,405.0,Beaver,11-Sep-18,221.89,Beaver County Tag Office,400 Douglas,Beaver,OK,73932.0,(580) 625-3376,-100.519468,36.813981,"(36.813981, -100.519468)",73932.0,Beaver,Beaver
207,405.0,Beaver,8-Oct-18,193.06,Beaver County Tag Office,400 Douglas,Beaver,OK,73932.0,(580) 625-3376,-100.519468,36.813981,"(36.813981, -100.519468)",73932.0,Beaver,Beaver
208,405.0,Beaver,13-Nov-18,238.46,Beaver County Tag Office,400 Douglas,Beaver,OK,73932.0,(580) 625-3376,-100.519468,36.813981,"(36.813981, -100.519468)",73932.0,Beaver,Beaver
209,405.0,Beaver,11-Dec-18,218.04,Beaver County Tag Office,400 Douglas,Beaver,OK,73932.0,(580) 625-3376,-100.519468,36.813981,"(36.813981, -100.519468)",73932.0,Beaver,Beaver
210,405.0,Beaver,10-Jan-19,211.59,Beaver County Tag Office,400 Douglas,Beaver,OK,73932.0,(580) 625-3376,-100.519468,36.813981,"(36.813981, -100.519468)",73932.0,Beaver,Beaver
211,405.0,Beaver,11-Feb-19,214.88,Beaver County Tag Office,400 Douglas,Beaver,OK,73932.0,(580) 625-3376,-100.519468,36.813981,"(36.813981, -100.519468)",73932.0,Beaver,Beaver
212,405.0,Beaver,11-Mar-19,175.76,Beaver County Tag Office,400 Douglas,Beaver,OK,73932.0,(580) 625-3376,-100.519468,36.813981,"(36.813981, -100.519468)",73932.0,Beaver,Beaver
213,405.0,Beaver,9-Apr-19,211.97,Beaver County Tag Office,400 Douglas,Beaver,OK,73932.0,(580) 625-3376,-100.519468,36.813981,"(36.813981, -100.519468)",73932.0,Beaver,Beaver
214,405.0,Beaver,10-May-19,178.14,Beaver County Tag Office,400 Douglas,Beaver,OK,73932.0,(580) 625-3376,-100.519468,36.813981,"(36.813981, -100.519468)",73932.0,Beaver,Beaver
215,405.0,Beaver,11-Jun-19,263.32,Beaver County Tag Office,400 Douglas,Beaver,OK,73932.0,(580) 625-3376,-100.519468,36.813981,"(36.813981, -100.519468)",73932.0,Beaver,Beaver
216,410.0,Forgan,10-Jul-18,84.97,,,,,,,,,,,,
217,410.0,Forgan,10-Aug-18,83.72,,,,,,,,,,,,
218,410.0,Forgan,11-Sep-18,82.22,,,,,,,,,,,,
219,410.0,Forgan,8-Oct-18,71.54,,,,,,,,,,,,
220,410.0,Forgan,13-Nov-18,88.36,,,,,,,,,,,,
221,410.0,Forgan,11-Dec-18,80.80,,,,,,,,,,,,
222,410.0,Forgan,10-Jan-19,78.40,,,,,,,,,,,,
223,410.0,Forgan,11-Feb-19,79.63,,,,,,,,,,,,
224,410.0,Forgan,11-Mar-19,65.13,,,,,,,,,,,,
225,410.0,Forgan,9-Apr-19,78.54,,,,,,,,,,,,
226,410.0,Forgan,10-May-19,66.01,,,,,,,,,,,,
227,410.0,Forgan,11-Jun-19,97.57,,,,,,,,,,,,
228,415.0,Gate,10-Jul-18,14.19,,,,,,,,,,,,
229,415.0,Gate,10-Aug-18,13.98,,,,,,,,,,,,
230,415.0,Gate,11-Sep-18,13.73,,,,,,,,,,,,
231,415.0,Gate,8-Oct-18,11.95,,,,,,,,,,,,
232,415.0,Gate,13-Nov-18,14.76,,,,,,,,,,,,
233,415.0,Gate,11-Dec-18,13.49,,,,,,,,,,,,
234,415.0,Gate,10-Jan-19,13.09,,,,,,,,,,,,
235,415.0,Gate,11-Feb-19,13.30,,,,,,,,,,,,
236,415.0,Gate,11-Mar-19,10.88,,,,,,,,,,,,
237,415.0,Gate,9-Apr-19,13.12,,,,,,,,,,,,
238,415.0,Gate,10-May-19,11.02,,,,,,,,,,,,
239,415.0,Gate,11-Jun-19,16.29,,,,,,,,,,,,
240,420.0,Knowles,10-Jul-18,1.63,,,,,,,,,,,,
241,420.0,Knowles,10-Aug-18,1.61,,,,,,,,,,,,
242,420.0,Knowles,11-Sep-18,1.58,,,,,,,,,,,,
243,420.0,Knowles,8-Oct-18,1.37,,,,,,,,,,,,
244,420.0,Knowles,13-Nov-18,1.70,,,,,,,,,,,,
245,420.0,Knowles,11-Dec-18,1.55,,,,,,,,,,,,
246,420.0,Knowles,10-Jan-19,1.50,,,,,,,,,,,,
247,420.0,Knowles,11-Feb-19,1.53,,,,,,,,,,,,
248,420.0,Knowles,11-Mar-19,1.25,,,,,,,,,,,,
249,420.0,Knowles,9-Apr-19,1.51,,,,,,,,,,,,
250,420.0,Knowles,10-May-19,1.27,,,,,,,,,,,,
